id,survey,question,question_length,primary_topic_openai,primary_subtopic_openai,confidence_openai,primary_topic_claude,primary_subtopic_claude,confidence_claude,min_confidence,confidence_diff
3718,Consumer Expenditure Survey (CE),"Select the categories that describe this telephone contact/noncontact. Enter all that apply, separate with commas. 1. Got answering machine/voicemail 2. Ring, no answer 3. Busy Signal 4. Disconnected 5. Wrong number 6. Spoke with ineligible person 7. Respondent left message (voicemail, text message, etc.) 99. Other - specify",326,Social,Household,0.92,Government,Jurisdiction,0.65,0.65,0.27
2304,National Health Interview Survey (NHIS),"In case I or someone from my office needs to get in touch with you, we need your full name. What is your full name? Enter last name.",132,Social,Household,0.7,Demographic,Population,0.65,0.65,0.04999999999999993
2334,"National Training, Education, and Workforce Survey (NTEWS)","For the MAIN job you wrote in question 7, please rate your satisfaction with this job’s...",90,Economic,Employment Status,0.7,Social,Occupation,0.65,0.65,0.04999999999999993
2335,"National Training, Education, and Workforce Survey (NTEWS)",How would you rate your overall satisfaction with the MAIN job you wrote in question 7?,87,Economic,Employment Status,0.7,Social,Occupation,0.65,0.65,0.04999999999999993
2686,Consumer Expenditure Survey (CE),What was the reason for paying a different amount?,50,Housing,"Costs (Mortgage, Taxes, Insurance)",0.8,Economic,Expenditures,0.65,0.65,0.15000000000000002
2302,National Health Interview Survey (NHIS),What are the last four digits of ^SCNAME's Social Security Number?,66,Government,Federal Government,0.7,Demographic,Population,0.65,0.65,0.04999999999999993
1988,National Health Interview Survey (NHIS),What are the last four digits of your Social Security Number?,61,Government,Federal Government,0.7,Demographic,Population,0.72,0.7,0.020000000000000018
6757,Survey of State Government Finances Finances of Insurance Trust Systems,Did other school personnel help to complete the questionnaire?,62,Social,Schools,0.75,Government,School Districts,0.7,0.7,0.050000000000000044
6756,Survey of State Government Finances Finances of Insurance Trust Systems,"Please provide the following information for the person who completed this questionnaire. If more than one person completed the questionnaire, please answer for the primary respondent. Name of primary person completing form; Title or position; Number of years at this school; Telephone number; E-mail address; Best days and times to reach you (in case we have further questions)",378,Social,Schools,0.7,Government,School Districts,0.75,0.7,0.050000000000000044
6613,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,"Sometimes people involved in a study change their typical behaviors because of being in the study. We want to know if being involved in this study changed people’s behavior from what they normally do. In general, during the [insert number of day fill] day Food Log, did you (or other household members) change the way you got food because you were taking part in this study? We appreciate your honesty and your answers will not change how much money you have earned from this study",481,Economic,Purchases,0.8,Social,Household,0.7,0.7,0.10000000000000009
5129,Household Trends and Outlook Pulse Survey (HTOPS),"The next set of questions asks about natural disasters, such as hurricanes, floods and fires. Since January 2024 (last year), were you or was anyone currently living or staying with you affected by a natural disaster?",217,Economic,Emergency,0.85,Social,Moving,0.7,0.7,0.15000000000000002
5162,Household Trends and Outlook Pulse Survey (HTOPS),Our records have the following address as your home address where we will mail incentives for taking surveys. Is this correct?,126,Government,Geography,0.8,Housing,Housing,0.7,0.7,0.10000000000000009
5169,Current Population Survey (CPS),Is that your exact address?,27,Government,Geography,0.85,Housing,Housing,0.7,0.7,0.15000000000000002
1005,National Teacher and Principal Survey (NTPS) Principal Questionnaire,What is his or her work e-mail address?,39,Social,Schools,0.7,Government,Public Employment,0.7,0.7,0.0
4566,Survey of Income and Program Participation (SIPP),Did ^TEMPNAME receive the bus or subway tokens or passes through a government agency? What was the source of the bus or subway tokens or passes?,144,Government,Local Government,0.7,Social,Expenditures,0.8,0.7,0.10000000000000009
4565,Survey of Income and Program Participation (SIPP),Did ^TEMPNAME receive the gas vouchers through a government social service agency? What was the source of the gas voucher?,122,Government,Local Government,0.7,Social,Expenditures,0.8,0.7,0.10000000000000009
2294,National Health Interview Survey (NHIS),"At any time in the last 12 months did any family members living here receive benefits from the WIC program, that is, the Women, Infants, and Children program?",158,Economic,Food Stamps (SNAP),0.7,Social,Children,0.85,0.7,0.15000000000000002
1995,National Health Interview Survey (NHIS),I have recorded that you are knowledgeable about and responsible for ^SCNAME's health care. Is that correct?,108,Social,Medical Care,0.9,Demographic,Relationship,0.7,0.7,0.20000000000000007
6374,Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,"What month and year did (you/NAMES FROM B14a, B14b1, or if only one child <5 list that child’s name) start to receive benefits from the WIC program?",148,Social,Children,0.7,Economic,Food Stamps (SNAP),0.95,0.7,0.25
6373,Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,"Select the names of the people listed below that currently receive WIC benefits, including infants and children",111,Social,Children,0.7,Economic,Food Stamps (SNAP),0.95,0.7,0.25
6372,Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,Are you/Is anyone in your household now receiving benefits from WIC?,68,Social,Children,0.7,Economic,Food Stamps (SNAP),0.95,0.7,0.25
1984,National Health Interview Survey (NHIS),Is there at least one telephone INSIDE ^HOME that is currently working and is not a cell phone?,95,Housing,Utilities,0.7,Social,Computer & Internet Use,0.7,0.7,0.0
3845,Survey of Income and Program Participation (SIPP),"We will begin the interview with questions about who lives here, their ages, how they're related to each other, and other information. Then I will ask you questions about your jobs and other sources of income. After that, I'll have similar questions about the other people who live here.",287,Demographic,Relationship,0.9,Social,Household,0.7,0.7,0.20000000000000007
6116,American Housing Survey (AHS),Sometimes communities that are not age-restricted still attract certain age groups. Do you think the majority of your neighbors are 55 or over?,143,Demographic,Age,0.9,Housing,Housing,0.7,0.7,0.20000000000000007
6758,Survey of State Government Finances Finances of Insurance Trust Systems,"If yes, please list the title(s) or position(s) of these staff",62,Social,Schools,0.75,Government,School Districts,0.7,0.7,0.050000000000000044
5046,Survey of Income and Program Participation (SIPP),Contact person's telephone number: Extension (if applicable).,61,Social,Household,0.85,Government,Geography,0.7,0.7,0.15000000000000002
2615,Consumer Expenditure Survey (CE),With whom am I speaking?,24,Social,Household,0.9,Demographic,Relationship,0.7,0.7,0.20000000000000007
3625,Consumer Expenditure Survey (CE),"Do (you/you or any members of your household) have any retirement accounts such as 401(k)s, IRAs, or Thrift Savings Plans?",122,Government,Pension,0.7,Economic,Income,0.85,0.7,0.15000000000000002
86,Identity Theft Supplement (ITS),"5. Have you ever had a credit card account in your name? Include major credit cards such as a MasterCard or Visa, and credit cards through retailers, such as Kohl’s, Walmart, or Amazon. Please do not include debit cards or gift cards.",234,Social,Crime,0.85,Economic,Income,0.7,0.7,0.15000000000000002
3664,Consumer Expenditure Survey (CE),Did (you/your household) have any student loans ONE YEAR AGO TODAY?,67,Economic,Expenses,0.7,Social,Post-Secondary Education,0.8,0.7,0.10000000000000009
5044,Survey of Income and Program Participation (SIPP),Contact person's telephone number: Area code,44,Social,Household,0.85,Government,Geography,0.7,0.7,0.15000000000000002
2908,Consumer Expenditure Survey (CE),In what state is (Store) located?,33,Government,Geography,0.8,Economic,Expenditures,0.7,0.7,0.10000000000000009
5026,Survey of Income and Program Participation (SIPP),"What is the first name of a close relative or friend, not currently living at this address, who would know how to reach ^TEMPNAME if we are unable to do so? What is this person's last name?",189,Social,Household,0.7,Demographic,Relationship,0.75,0.7,0.050000000000000044
5019,Survey of Income and Program Participation (SIPP),"^C_IWE_FOOD couldn't afford to eat balanced meals."" Was that often, sometimes, or never true for ^YOUYOURHOUSEHOLD_ADULT_WB in ^REFYEAR?",136,Economic,Food Stamps (SNAP),0.7,Social,Expenditures,0.85,0.7,0.15000000000000002
5031,Survey of Income and Program Participation (SIPP),To whom should future correspondence be addressed?,50,Social,Household,0.8,Government,Geography,0.7,0.7,0.10000000000000009
5045,Survey of Income and Program Participation (SIPP),Contact person's telephone number: Telephone number.,52,Social,Household,0.9,Government,Geography,0.7,0.7,0.20000000000000007
5018,Survey of Income and Program Participation (SIPP),"The first statement is, ""The food that ^IWE_FOOD bought just didn't last, and ^IWE_FOOD didn't have money to get more."" Was that often, sometimes, or never true for ^YOUYOURHOUSEHOLD_ADULT_WB in ^CALENDAR_YRFIL?",211,Economic,Food Stamps (SNAP),0.7,Social,Expenditures,0.85,0.7,0.15000000000000002
3239,Consumer Expenditure Survey (CE),How many nights did (you/you or any members of your household) spend away from home on this stay?,97,Social,Household,0.7,Economic,Expenditures,0.85,0.7,0.15000000000000002
229,"National Survey of Children's Health Topical Questionaire (Children, 0-5 years)","First name, initials, or nickname of the youngest child",55,Social,Children,0.9,Demographic,Population,0.7,0.7,0.20000000000000007
3238,Consumer Expenditure Survey (CE),"Sometimes people stay overnight in a local hotel or motel during holidays, family getaways, moves, or home repair. Since the first of (reference month), have (you/you or any members of your household) stayed overnight in a local hotel or motel?",244,Social,Household,0.7,Economic,Expenditures,0.9,0.7,0.20000000000000007
3628,Consumer Expenditure Survey (CE),What was the total value of all retirement accounts ONE YEAR AGO TODAY?,71,Government,Pension,0.72,Economic,Income,0.85,0.72,0.13
2568,American Time Use Survey (ATUS),Where were you while you were [ACTIVITY]?,41,Government,Geography,0.75,Social,Household,0.72,0.72,0.030000000000000027
1189,National Teacher and Principal Survey (NTPS) Private School Teacher Questionnaire,"Do you still owe all, some, or none of the amount that you borrowed?",68,Social,Education,0.85,Economic,Income,0.72,0.72,0.13
839,National Sample Survey of Registered Nurses (NSSRN),"What was the location of the primary nursing position you held on December 31, 2020?",84,Government,Geography,0.75,Economic,Commute/Commuting,0.72,0.72,0.030000000000000027
856,National Sample Survey of Registered Nurses (NSSRN),"When making hiring decisions, do you feel that health care employers should consider prior negative health care related actions taken against prospective employees?",164,Economic,Employer,0.85,Social,Occupation,0.75,0.75,0.09999999999999998
4430,Survey of Income and Program Participation (SIPP),Were any of these lunches free or reduced-price?,48,Economic,Food Services,0.85,Social,Child Care,0.75,0.75,0.09999999999999998
6740,FoodAPS food Log,"If your day is over, and you [and NAMES FILL] did NOT get any more food or drink items, you can go to the next screen to finish your food log day.",146,Economic,Food Services,0.8,Social,Household,0.75,0.75,0.050000000000000044
6898,Medical Expenditure Panel Survey Insurance Component,Who was primarily responsible for completing this section?,58,Economic,Employer,0.8,Government,Federal Government,0.75,0.75,0.050000000000000044
6300,Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,About how much of the meal planning or meal preparation do you do for your food sharing group?,94,Social,Household,0.85,Economic,Expenditures,0.75,0.75,0.09999999999999998
6317,Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,"[During the school year/Last school year], about how many days a week did you/ usually get a school lunch?",106,Social,Schools,0.85,Economic,Food Services,0.75,0.75,0.09999999999999998
6352,Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,"Are these meals or snacks free, at a reduced price, at full price, or are they included in tuition?",99,Social,Child Care,0.75,Economic,Expenditures,0.88,0.75,0.13
652,"National Survey of Children's Health Topical Questionaire (Children, 12-17)","In your neighborhood, is/are there... a. Sidewalks or walking paths? b. A park or playground? c. A recreation center, community center, or boys’ and girls’ club? d. A library or bookmobile? e. Litter or garbage on the street or sidewalk? f. Poorly kept or rundown housing? g. Vandalism such as broken windows or graffiti?",321,Social,Recreation,0.75,Government,Geography,0.85,0.75,0.09999999999999998
20,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),"When you attend school in person, how do you get to school most of the time this school year?",93,Economic,Commute/Commuting,0.9,Social,Schools,0.75,0.75,0.15000000000000002
21,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),"When you attend school in person, how do you get home from school most of the time this school year?",100,Economic,Commute/Commuting,0.9,Social,Schools,0.75,0.75,0.15000000000000002
1187,National Teacher and Principal Survey (NTPS) Teacher Questionnaire,"Other than money you may have borrowed from family or friends, did you take out any type of student loans to help pay for your undergraduate or graduate education?",163,Social,Education,0.8,Economic,Income,0.75,0.75,0.050000000000000044
6449,Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,"When at work, where do you usually get food (for example, for lunch or dinner)?",79,Economic,Food Services,0.85,Social,Expenditures,0.75,0.75,0.09999999999999998
136,Identity Theft Supplement (ITS),55. Have you been successful in clearing up all of the financial and credit problems associated with misuse of your personal information?,137,Economic,Expenses,0.75,Social,Crime,0.85,0.75,0.09999999999999998
6509,Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,"When at work, where does NAME usually get food (for example, for lunch or dinner)?",82,Economic,Food Services,0.8,Social,Expenditures,0.75,0.75,0.050000000000000044
1006,National Teacher and Principal Survey (NTPS) Principal Questionnaire,What is the school’s phone number?,34,Social,Schools,0.9,Government,School Districts,0.75,0.75,0.15000000000000002
137,Identity Theft Supplement (ITS),56. How long did it take you to clear up all of the financial and credit problems associated with the misuse after you discovered it?,133,Economic,Expenses,0.75,Social,Crime,0.85,0.75,0.09999999999999998
853,National Sample Survey of Registered Nurses (NSSRN),"e National Practitioner Data Bank (NPDB), is a nationwide repository of negative actions taken against health care professionals. Its primary function is to aid employers in making well-informed hiring decisions. Currently, certain entities are required to query the NPDB on physicians and dentists, prior to making decisions on hiring and clinical privileges. Do you think the query requirement should be expanded to other health care professions?",449,Government,Federal Government,0.75,Social,Occupation,0.75,0.75,0.0
855,National Sample Survey of Registered Nurses (NSSRN),Did the NPDB report impact your career?,39,Economic,Employment Status,0.75,Social,Occupation,0.85,0.75,0.09999999999999998
1003,National Teacher and Principal Survey (NTPS) Principal Questionnaire,What is the name of the person who completed most of this questionnaire?,72,Social,Schools,0.75,Government,Public Employment,0.75,0.75,0.0
3716,Consumer Expenditure Survey (CE),Who sent the Text or Email message? 1. Sample unit member / Respondent 2. Non-Sample unit member / Proxy,104,Demographic,Relationship,0.88,Social,Computer & Internet Use,0.75,0.75,0.13
4588,Survey of Income and Program Participation (SIPP),"If (NOWRK_1 NE 4) OR (NOWRK_1 = 4 and the No Job line end month DOES NOT equal interview month (EMONTH ne PROCEEDMONTHNUM)), then display: Did ^TEMPNAME change when ^YOUHESHE ^PLANPLANS to retire because of the coronavirus pandemic? If NOWRK_1 = 4 and the No Job line end month DOES equal interview month (EMONTH = PROCEEDMONTHNUM), then display: Did ^TEMPNAME change the timing of ^YOURHISHER retirement because of the coronavirus pandemic?",441,Social,COVID-19 Data,0.75,Economic,Employment Status,0.9,0.75,0.15000000000000002
1489,Private School Survey (PSS),Is this institution or organization still in operation?,55,Economic,Business Opening/Closing,0.8,Social,Schools,0.75,0.75,0.050000000000000044
4589,Survey of Income and Program Participation (SIPP),"If (NOWRK_1 NE 4) OR (NOWRK_1 = 4 and the No Job line end month DOES NOT equal interview month (EMONTH ne PROCEEDMONTHNUM)), then display: How did the coronavirus pandemic change ^PTEMPNAME plan to retire? Did ^YOUHESHE... If NOWRK_1 = 4 and the No Job line end month DOES equal interview month (EMONTH = PROCEEDMONTHNUM), then display: How did the coronavirus pandemic change the timing of ^PTEMPNAME retirement? Did ^YOUHESHE...",430,Social,COVID-19 Data,0.75,Economic,Employment Status,0.9,0.75,0.15000000000000002
4666,Survey of Income and Program Participation (SIPP),Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL was anyone in ^PTEMPNAME household the owner or the beneficiary of an educational or college savings account (such as a 529 account)?,195,Economic,Income,0.75,Social,Education,0.8,0.75,0.050000000000000044
3629,Consumer Expenditure Survey (CE),"Could you tell me which range on CARD D best reflects the total value of all retirement accounts ONE YEAR AGO TODAY? 1. $1-$9,999 2. $10,000-$39,999 3. $40,000-$99,999 4. $100,000-$199,999 5. $200,000-$449,999 6. $450,000 and over",230,Government,Pension,0.75,Economic,Income,0.84,0.75,0.08999999999999997
4890,Survey of Income and Program Participation (SIPP),Who in the household did ^TEMPNAME pay for?,43,Economic,Health Insurance,0.75,Social,Household,0.85,0.75,0.09999999999999998
3626,Consumer Expenditure Survey (CE),"As of TODAY -- What is the total value of all retirement accounts such as 401(k)s, IRAs, or Thrift Savings Plans that (you/your household) (own/owns)?",150,Government,Pension,0.75,Economic,Income,0.87,0.75,0.12
2887,Consumer Expenditure Survey (CE),In what state is (business name) located?,41,Government,Geography,0.9,Economic,Expenditures,0.75,0.75,0.15000000000000002
2742,Consumer Expenditure Survey (CE),Where is the property located?,30,Government,Geography,0.75,Housing,Housing,0.88,0.75,0.13
4567,Survey of Income and Program Participation (SIPP),During which months did ^TEMPNAME receive transportation assistance?,68,Economic,Commute/Commuting,0.85,Social,Expenditures,0.75,0.75,0.09999999999999998
2624,Consumer Expenditure Survey (CE),(Is this also your mailing address?/I have your mailing address as *READ ADDRESS BELOW. Is that correct?),105,Government,Geography,0.9,Social,Household,0.75,0.75,0.15000000000000002
2623,Consumer Expenditure Survey (CE),I have your address listed as READ ADDRESS BELOW. Is that your exact address?,77,Government,Geography,0.9,Social,Household,0.75,0.75,0.15000000000000002
2622,Consumer Expenditure Survey (CE),Has a replacement case already been created/spawned for this address?,69,Housing,Occupancy,0.75,Social,Household,0.8,0.75,0.050000000000000044
2633,Consumer Expenditure Survey (CE),What was the source of the information for the household characteristics?,73,Social,Household,0.85,Housing,Housing,0.75,0.75,0.09999999999999998
5125,Household Trends and Outlook Pulse Survey (HTOPS),"Please indicate whether you strongly agree, agree, disagree, or strongly disagree with the next statement. “There are plenty of opportunities for me to take part in arts and cultural activities in my neighborhood or community.”",227,Economic,Recreation,0.75,Social,Recreation,0.85,0.75,0.09999999999999998
1191,National Teacher and Principal Survey (NTPS) Private School Teacher Questionnaire,Please indicate your level of stress regarding your student loan debt. Would you say your level of stress is:,109,Economic,Expenses,0.75,Social,Expenses,0.75,0.75,0.0
5137,Household Trends and Outlook Pulse Survey (HTOPS),"Altogether, how much damage to property or possessions did you (or they) experience as a result of natural disasters since January 2024 (last year)?",148,Economic,Emergency,0.75,Housing,"Costs (Mortgage, Taxes, Insurance)",0.82,0.75,0.06999999999999995
5119,Household Trends and Outlook Pulse Survey (HTOPS),"Which one of the following statements best describes your access to transportation in the last 4 weeks: o Enough transportation to meet your needs (1) o Enough transportation, but not always the kinds you want to use (2) Page 23 of 36 o Sometimes not enough transportation to meet your needs (3) o Often not enough transportation to meet your needs (4) o Always not enough transportation to meet your needs (5)",410,Social,Vehicles,0.75,Economic,Commute/Commuting,0.85,0.75,0.09999999999999998
5181,Current Population Survey (CPS),With whom am I speaking?,24,Social,Household,0.75,Demographic,Relationship,0.88,0.75,0.13
1477,Private School Survey (PSS),Approximately how much time does this person spend working on duties associated with this position at your school?,114,Social,Schools,0.9,Economic,"Hours/Week, Weeks/Year",0.75,0.75,0.15000000000000002
5767,American Housing Survey (AHS),(reference time for utility costs) did you ^or_household_anyone miss work (as a result of a power outage)?,106,Economic,Employment Status,0.9,Housing,Utilities,0.75,0.75,0.15000000000000002
5163,Household Trends and Outlook Pulse Survey (HTOPS),Please enter your home address,30,Government,Geography,0.9,Housing,Housing,0.75,0.75,0.15000000000000002
5440,Census Military Panel (CMP),Do you think your spouse should stay on or leave active duty? ,62,Economic,Employment Status,0.85,Social,Veterans,0.75,0.75,0.09999999999999998
82,Identity Theft Supplement (ITS),1. Have you ever had a checking or savings account in your name through a bank or financial institution?,104,Social,Crime,0.85,Economic,Income,0.75,0.75,0.09999999999999998
1997,National Health Interview Survey (NHIS),"To confirm, are you RESPONSIBLE FOR ^SCNAME's health care?",58,Social,Medical Care,0.9,Demographic,Relationship,0.75,0.75,0.15000000000000002
4433,Survey of Income and Program Participation (SIPP),Were any of these breakfasts free or reduced-price?,51,Economic,Food Services,0.85,Social,Child Care,0.75,0.75,0.09999999999999998
4578,Survey of Income and Program Participation (SIPP),During which months did ^TEMPNAME receive ^OTHASSTFIL assistance?,65,Social,Household,0.75,Housing,Housing Costs,0.85,0.75,0.09999999999999998
1872,National Health Interview Survey (NHIS),Were you participating in an organized team or league sports competition or practice when you experienced any of these blows or jolts to the head?,146,Economic,Recreation,0.76,Social,Recreation,0.9,0.76,0.14
1871,National Health Interview Survey (NHIS),"^CDCMG_A Were you playing a sport or participating in a physical or recreational activity, such as jogging, biking, or pick-up games, when you experienced any of these blows or jolts to the head?",195,Economic,Recreation,0.76,Social,Recreation,0.88,0.76,0.12
1989,National Health Interview Survey (NHIS),What are the last four characters of your Medicare or Health Insurance Claim Number?,84,Government,Federal Government,0.9,Social,Medical Care,0.78,0.78,0.12
2733,Consumer Expenditure Survey (CE),How many land properties with no buildings on them did (you/anyone in your household) dispose of since (reference month)?,121,Housing,Structure,0.85,Economic,Expenditures,0.78,0.78,0.06999999999999995
4431,Survey of Income and Program Participation (SIPP),"Since the beginning of the current academic school year, ^DIDFIL_SCHOOLMEALS usually get the breakfast that ^THEIRFIL_SCHOOLMEALS school provides?",146,Economic,Food Services,0.85,Social,Child Care,0.78,0.78,0.06999999999999995
6269,Survey of Market Absorption (SOMA),"Does the management of this building provide assistance with... Personal care, for example, bathing, eating, moving about, dressing, or toilet use?",147,Social,Medical Care,0.95,Housing,Housing Costs,0.78,0.78,0.16999999999999993
3627,Consumer Expenditure Survey (CE),"Could you tell me which range on CARD D best reflects the total value of all retirement accounts such as 401(k)s, IRAs, and Thrift Savings Plans? 1. $1-$9,999 2. $10,000-$39,999 3. $40,000-$99,999 4. $100,000-$199,999 5. $200,000-$449,999 6. $450,000 and over",259,Government,Pension,0.78,Economic,Income,0.86,0.78,0.07999999999999996
6268,Survey of Market Absorption (SOMA),Does the management of this building provide assistance to residents with... Managing finances?,95,Social,Household,0.85,Housing,Housing Costs,0.78,0.78,0.06999999999999995
6086,American Housing Survey (AHS),Did you end your housing search sooner than you would have liked?,65,Social,Moving,0.78,Housing,Housing,0.87,0.78,0.08999999999999997
6168,American Housing Survey (AHS),"reference time for utility costs how often has anyone, including visitors, smoked tobacco inside your home? Smoking also includes vaping or the use of e-cigarettes. Would you say it was daily, weekly, monthly, a few times or never?",231,Social,Household,0.78,Housing,Housing,0.8,0.78,0.020000000000000018
2731,Consumer Expenditure Survey (CE),How many commercial real estate or farm land properties did (you/anyone in your household) dispose of since (reference month)?,126,Housing,Homeownership,0.78,Economic,Expenditures,0.8,0.78,0.020000000000000018
